mass_A
t	y	v
1.000000000E-2	3.168962343E-1	5.125372363E-4
2.000000000E-2	3.169052774E-1	5.749125602E-4
3.000000000E-2	3.169026934E-1	1.196499454E-3
4.000000000E-2	3.168952586E-1	1.879172939E-3
5.000000000E-2	3.168987719E-1	6.967316445E-3
6.000000000E-2	3.168904976E-1	3.054953839E-2
7.000000000E-2	3.167508572E-1	6.271497346E-2
8.000000000E-2	3.158851299E-1	1.143254249E-1
9.000000000E-2	3.147020972E-1	1.619066520E-1
1.000000000E-1	3.133814220E-1	2.314810852E-1
1.100000000E-1	3.110456244E-1	2.860421048E-1
1.200000000E-1	3.087812579E-1	3.247539470E-1
1.300000000E-1	3.060459715E-1	3.984733201E-1
1.400000000E-1	3.025974615E-1	4.624737171E-1
1.500000000E-1	2.988833294E-1	4.933094134E-1
1.600000000E-1	2.949400623E-1	5.633569841E-1
1.700000000E-1	2.901849746E-1	6.324117697E-1
1.800000000E-1	2.854820270E-1	6.578843061E-1
1.900000000E-1	2.801862771E-1	7.016786976E-1
2.000000000E-1	2.745985657E-1	7.495664325E-1
2.100000000E-1	2.685108651E-1	8.103253479E-1
2.200000000E-1	2.619476868E-1	8.577695361E-1
2.300000000E-1	2.552839063E-1	9.083637296E-1
2.400000000E-1	2.481752615E-1	9.593262118E-1
2.500000000E-1	2.409075865E-1	1.007298531E0
2.600000000E-1	2.330447636E-1	1.064066703E0
2.700000000E-1	2.251410244E-1	1.070164405E0
2.800000000E-1	2.175286912E-1	1.149065139E0
2.900000000E-1	2.085228570E-1	1.175737519E0
3.000000000E-1	2.020218075E-1	1.240661198E0
3.100000000E-1	1.911599049E-1	1.323319433E0
3.200000000E-1	1.825894387E-1	1.328594861E0
3.300000000E-1	1.732922133E-1	1.358061971E0
3.400000000E-1	1.647154295E-1	1.390706662E0
3.500000000E-1	1.556676140E-1	1.470194056E0
3.600000000E-1	1.465721968E-1	1.500841273E0
3.700000000E-1	1.375005317E-1	1.525710438E0
3.800000000E-1	1.286487446E-1	1.570638573E0
3.900000000E-1	1.200322166E-1	1.595081330E0
4.000000000E-1	1.116354721E-1	1.641631556E0
4.100000000E-1	1.029874404E-1	1.671073342E0
4.200000000E-1	9.497529135E-2	1.683607758E0
4.300000000E-1	8.723429861E-2	1.744538780E0
4.400000000E-1	7.927193989E-2	1.787426368E0
4.500000000E-1	7.313047647E-2	1.757094089E0
4.600000000E-1	6.510059074E-2	1.770392828E0
4.700000000E-1	5.848232107E-2	1.824177033E0
4.800000000E-1	5.243314637E-2	1.818680845E0
4.900000000E-1	4.695466667E-2	1.857826185E0
5.000000000E-1	4.136306418E-2	1.876980685E0
5.100000000E-1	3.666305304E-2	1.858311594E0
5.200000000E-1	3.244516658E-2	1.890002639E0
5.300000000E-1	2.808688932E-2	1.904122410E0
5.400000000E-1	2.447173881E-2	1.850209841E0
5.500000000E-1	2.212421523E-2	1.903565141E0
5.600000000E-1	1.893643231E-2	1.960207662E0
5.700000000E-1	1.675387587E-2	1.890651626E0
5.800000000E-1	1.505862878E-2	1.860622662E0
5.900000000E-1	1.405280711E-2	1.874592396E0
6.000000000E-1	1.364548525E-2	1.888283010E0
6.100000000E-1	1.362660558E-2	1.902295214E0
6.200000000E-1	1.417368656E-2	1.888045772E0
6.300000000E-1	1.521910602E-2	1.890898051E0
6.400000000E-1	1.676458061E-2	1.827079756E0
6.500000000E-1	1.941206692E-2	1.834348173E0
6.600000000E-1	2.124247370E-2	1.894698984E0
6.700000000E-1	2.422344247E-2	1.834820809E0
6.800000000E-1	2.743388491E-2	1.800638001E0
6.900000000E-1	3.141524619E-2	1.787966181E0
7.000000000E-1	3.557976384E-2	1.773777092E0
7.100000000E-1	4.041085481E-2	1.738833171E0
7.200000000E-1	4.537457477E-2	1.715379800E0
7.300000000E-1	5.089900616E-2	1.679801761E0
7.400000000E-1	5.643985963E-2	1.668537627E0
7.500000000E-1	6.248861630E-2	1.676584972E0
7.600000000E-1	6.884295281E-2	1.602319922E0
7.700000000E-1	7.503417253E-2	1.597928293E0
7.800000000E-1	8.208924604E-2	1.585745693E0
7.900000000E-1	8.884807410E-2	1.476893051E0
8.000000000E-1	9.552984816E-2	1.423123664E0
8.100000000E-1	1.021188819E-1	1.438535309E0
8.200000000E-1	1.092090036E-1	1.440109823E0
8.300000000E-1	1.164615253E-1	1.402536348E0
8.400000000E-1	1.237747709E-1	1.364810679E0
8.500000000E-1	1.310028583E-1	1.326978135E0
8.600000000E-1	1.382600348E-1	1.288965595E0
8.700000000E-1	1.455456744E-1	1.242676248E0
8.800000000E-1	1.526946159E-1	1.217894133E0
8.900000000E-1	1.600005572E-1	1.200683824E0
9.000000000E-1	1.672110241E-1	1.151575835E0
9.100000000E-1	1.741642101E-1	1.084062228E0
9.200000000E-1	1.808446652E-1	1.043547961E0
9.300000000E-1	1.885050937E-1	1.032939720E0
9.400000000E-1	1.945539574E-1	9.813819239E-1
9.500000000E-1	2.008611236E-1	9.178981429E-1
9.600000000E-1	2.068297335E-1	8.758376091E-1
9.700000000E-1	2.126565922E-1	8.379730727E-1
9.800000000E-1	2.184024901E-1	7.658977104E-1
9.900000000E-1	2.234023439E-1	7.219032262E-1
1.000000000E0	2.285414242E-1	6.785637842E-1
1.010000000E0	2.331912053E-1	6.191867466E-1
1.020000000E0	2.375937646E-1	5.889874766E-1
1.030000000E0	2.418710742E-1	5.207082692E-1
1.040000000E0	2.453350421E-1	4.402523188E-1
1.050000000E0	2.484249417E-1	3.887886321E-1
1.060000000E0	2.510402121E-1	3.446979465E-1
1.070000000E0	2.536878879E-1	2.858625143E-1
1.080000000E0	2.556151590E-1	2.486689284E-1
1.090000000E0	2.575891857E-1	2.298546018E-1
1.100000000E0	2.592844840E-1	1.652684799E-1
1.110000000E0	2.602183944E-1	1.066947576E-1
1.120000000E0	2.610284782E-1	6.772076970E-2
1.130000000E0	2.612467949E-1	1.947833330E-2
1.140000000E0	2.612088391E-1	2.996735880E-2
1.150000000E0	2.609982611E-1	9.294443059E-2
1.160000000E0	2.599357152E-1	1.518648370E-1
1.170000000E0	2.587215213E-1	2.115869245E-1
1.180000000E0	2.568933568E-1	2.475855385E-1
1.190000000E0	2.551789332E-1	2.814749240E-1
1.200000000E0	2.524704862E-1	3.566293470E-1
1.210000000E0	2.496571123E-1	4.149848246E-1
1.220000000E0	2.465488741E-1	4.411694157E-1
1.230000000E0	2.433674559E-1	4.905883462E-1
1.240000000E0	2.392883729E-1	5.609507079E-1
1.250000000E0	2.350442099E-1	5.981743641E-1
1.260000000E0	2.304745945E-1	6.258908953E-1
1.270000000E0	2.258293331E-1	6.849645147E-1
1.280000000E0	2.205747725E-1	7.370468709E-1
1.290000000E0	2.154089735E-1	7.835098442E-1
1.300000000E0	2.097796506E-1	8.277918146E-1
1.310000000E0	2.040172435E-1	8.602794277E-1
1.320000000E0	1.979247433E-1	9.194932894E-1
1.330000000E0	1.922287328E-1	9.863532556E-1
1.340000000E0	1.846690220E-1	1.041547386E0
1.350000000E0	1.777701227E-1	1.032822042E0
1.360000000E0	1.715095591E-1	1.074960685E0
1.370000000E0	1.644222022E-1	1.158435519E0
1.380000000E0	1.572883317E-1	1.171990422E0
1.390000000E0	1.501777358E-1	1.219505701E0
1.400000000E0	1.427527320E-1	1.268490258E0
1.410000000E0	1.353990205E-1	1.296708251E0
1.420000000E0	1.282488407E-1	1.319531671E0
1.430000000E0	1.210555689E-1	1.345249622E0
1.440000000E0	1.137953392E-1	1.388643546E0
1.450000000E0	1.066566975E-1	1.418155284E0
1.460000000E0	9.967131757E-2	1.414068434E0
1.470000000E0	9.314823110E-2	1.455689934E0
1.480000000E0	8.626667005E-2	1.518557034E0
1.490000000E0	7.966456425E-2	1.526024780E0
1.500000000E0	7.322947851E-2	1.574630949E0
1.510000000E0	6.679306152E-2	1.573242032E0
1.520000000E0	6.077824681E-2	1.587381630E0
1.530000000E0	5.504247481E-2	1.627611995E0
1.540000000E0	4.956485674E-2	1.642372091E0
1.550000000E0	4.419703054E-2	1.657044706E0
1.560000000E0	3.947646994E-2	1.659326398E0
1.570000000E0	3.515637358E-2	1.699917069E0
1.580000000E0	3.112622926E-2	1.725217776E0
1.590000000E0	2.726385755E-2	1.718294176E0
1.600000000E0	2.422013082E-2	1.736349243E0
1.610000000E0	2.120915818E-2	1.774898825E0
1.620000000E0	2.040818862E-2	1.753109262E0
1.630000000E0	1.708478812E-2	1.760032384E0
1.640000000E0	1.566603966E-2	1.781799736E0
1.650000000E0	1.461182068E-2	1.782904222E0
1.660000000E0	1.392824183E-2	1.792296898E0
1.670000000E0	1.388323998E-2	1.775362172E0
1.680000000E0	1.424005570E-2	1.760124719E0
1.690000000E0	1.504139753E-2	1.769194409E0
1.700000000E0	1.648940227E-2	1.786433740E0
1.710000000E0	1.811700855E-2	1.736953216E0
1.720000000E0	2.069648711E-2	1.756525005E0
1.730000000E0	2.302403447E-2	1.799274180E0
1.740000000E0	2.566969670E-2	1.735929715E0
1.750000000E0	2.888310172E-2	1.701169741E0
1.760000000E0	3.240471379E-2	1.692081838E0
1.770000000E0	3.607217242E-2	1.695836803E0
1.780000000E0	4.045740595E-2	1.691626510E0
1.790000000E0	4.502435185E-2	1.675636254E0
1.800000000E0	5.034148394E-2	1.648386594E0
1.810000000E0	5.540539835E-2	1.604902397E0
1.820000000E0	6.060568136E-2	1.596377470E0
1.830000000E0	6.662668056E-2	1.562439844E0
1.840000000E0	7.461112702E-2	1.535332718E0
1.850000000E0	7.911576903E-2	1.536447650E0
1.860000000E0	8.563382177E-2	1.486149982E0
1.870000000E0	9.219058558E-2	1.466715764E0
1.880000000E0	9.934952144E-2	1.438609370E0
1.890000000E0	1.060734581E-1	1.392367137E0
1.900000000E0	1.133003601E-1	1.361336938E0
1.910000000E0	1.203627863E-1	1.313333037E0
1.920000000E0	1.275325380E-1	1.256892222E0
1.930000000E0	1.342293899E-1	1.233248328E0
1.940000000E0	1.416150777E-1	1.198716397E0
1.950000000E0	1.483031918E-1	1.150084875E0
1.960000000E0	1.555302549E-1	1.120519835E0
1.970000000E0	1.621391809E-1	1.087802463E0
1.980000000E0	1.692198472E-1	1.057691742E0
1.990000000E0	1.757699039E-1	1.001511990E0
2.000000000E0	1.820962133E-1	9.428560840E-1
2.010000000E0	1.882371230E-1	8.871581067E-1
2.020000000E0	1.943316974E-1	8.948004553E-1
2.030000000E0	2.018744203E-1	8.461729192E-1
2.040000000E0	2.064348447E-1	7.555261917E-1
2.050000000E0	2.111333610E-1	7.135058133E-1
2.060000000E0	2.160374964E-1	6.667003794E-1
2.070000000E0	2.206426465E-1	6.201260302E-1
2.080000000E0	2.249164035E-1	5.676003345E-1
2.090000000E0	2.287122352E-1	5.225876595E-1
2.100000000E0	2.324907492E-1	4.825773588E-1
2.110000000E0	2.357866516E-1	4.347588937E-1
2.120000000E0	2.388429114E-1	3.773253964E-1
2.130000000E0	2.415481714E-1	3.205893035E-1
2.140000000E0	2.436038828E-1	2.738295718E-1
2.150000000E0	2.453691723E-1	2.180706202E-1
2.160000000E0	2.467204329E-1	1.793982146E-1
2.170000000E0	2.479851972E-1	1.242075565E-1
2.180000000E0	2.485032888E-1	7.058078324E-2
2.190000000E0	2.491073567E-1	4.037235515E-2
2.200000000E0	2.493035018E-1	1.845244399E-2
2.210000000E0	2.488986320E-1	6.552318325E-2
2.220000000E0	2.481975328E-1	1.281258790E-1
2.230000000E0	2.467722968E-1	1.925408541E-1
2.240000000E0	2.451640222E-1	2.230457074E-1
2.250000000E0	2.434230033E-1	2.834899315E-1
2.260000000E0	2.409651602E-1	3.342534657E-1
2.270000000E0	2.385129970E-1	3.674819602E-1
2.280000000E0	2.356102724E-1	4.287845119E-1
2.290000000E0	2.322257822E-1	4.817012256E-1
2.300000000E0	2.283973756E-1	5.236161532E-1
2.310000000E0	2.245973988E-1	5.669138131E-1
2.320000000E0	2.204727696E-1	6.172584441E-1
2.330000000E0	2.158135264E-1	6.579776012E-1
2.340000000E0	2.109231673E-1	6.917877175E-1
2.350000000E0	2.064141134E-1	7.451792471E-1
2.360000000E0	2.019713751E-1	8.555748530E-1
2.370000000E0	1.942176328E-1	9.027998115E-1
2.380000000E0	1.880849965E-1	8.856775202E-1
2.390000000E0	1.819860411E-1	9.528209749E-1
2.400000000E0	1.756300152E-1	9.873314024E-1
2.410000000E0	1.693077701E-1	1.042959706E0
2.420000000E0	1.622806966E-1	1.074628226E0
2.430000000E0	1.558043713E-1	1.062047071E0
2.440000000E0	1.492460558E-1	1.119296405E0
2.450000000E0	1.422817758E-1	1.173991662E0
2.460000000E0	1.354657399E-1	1.228476607E0
2.470000000E0	1.281551033E-1	1.261188536E0
2.480000000E0	1.214487509E-1	1.304927075E0
2.490000000E0	1.141601356E-1	1.349245616E0
2.500000000E0	1.073719401E-1	1.374156503E0
2.510000000E0	1.002844570E-1	1.396354139E0
2.520000000E0	9.364998440E-2	1.411207464E0
2.530000000E0	8.720859526E-2	1.467803241E0
2.540000000E0	8.069095927E-2	1.431444911E0
2.550000000E0	7.706624666E-2	1.491234805E0
2.560000000E0	6.850286550E-2	1.573534693E0
2.570000000E0	6.292172773E-2	1.565464038E0
2.580000000E0	5.732616743E-2	1.583592762E0
2.590000000E0	5.224985191E-2	1.574988715E0
2.600000000E0	4.742913750E-2	1.587025353E0
2.610000000E0	4.293982502E-2	1.610528507E0
2.620000000E0	3.888899589E-2	1.616694454E0
2.630000000E0	3.524874468E-2	1.621738201E0
2.640000000E0	3.181171625E-2	1.648853145E0
2.650000000E0	2.887928304E-2	1.670816663E0
2.660000000E0	2.571857005E-2	1.613424473E0
2.670000000E0	2.501589626E-2	1.648052153E0
2.680000000E0	2.134397335E-2	1.724214024E0
2.690000000E0	1.937602834E-2	1.671624704E0
2.700000000E0	1.804935176E-2	1.662259865E0
2.710000000E0	1.696185478E-2	1.666810532E0
2.720000000E0	1.626948333E-2	1.659009298E0
2.730000000E0	1.582346099E-2	1.651662853E0
2.740000000E0	1.621240372E-2	1.628705694E0
2.750000000E0	1.646988960E-2	1.621288108E0
2.760000000E0	1.729376675E-2	1.644860346E0
2.770000000E0	1.837392853E-2	1.610918905E0
2.780000000E0	2.037028628E-2	1.623950706E0
2.790000000E0	2.308380840E-2	1.651154685E0
2.800000000E0	2.479732256E-2	1.596026393E0
2.810000000E0	2.752085568E-2	1.579734578E0
2.820000000E0	3.040059338E-2	1.594400684E0
2.830000000E0	3.399625135E-2	1.576072865E0
2.840000000E0	3.778413990E-2	1.545504768E0
2.850000000E0	4.202348117E-2	1.522157719E0
2.860000000E0	4.637320655E-2	1.498533557E0
2.870000000E0	5.092925229E-2	1.480906731E0
2.880000000E0	5.543856927E-2	1.460889981E0
2.890000000E0	6.046696777E-2	1.428583061E0
2.900000000E0	6.530871375E-2	1.395071493E0
2.910000000E0	7.072139671E-2	1.367644832E0
2.920000000E0	7.614154757E-2	1.350753361E0
2.930000000E0	8.183317035E-2	1.328624029E0
2.940000000E0	8.733927383E-2	1.288412741E0
2.950000000E0	9.315055219E-2	1.265592187E0
2.960000000E0	9.905004193E-2	1.200854720E0
2.970000000E0	1.047128357E-1	1.143527036E0
2.980000000E0	1.102729554E-1	1.108991771E0
2.990000000E0	1.157041275E-1	1.074072098E0
3.000000000E0	1.212399450E-1	1.064057026E0
3.010000000E0	1.269094044E-1	1.024697012E0
3.020000000E0	1.325550915E-1	1.005837340E0
3.030000000E0	1.382497228E-1	9.720200615E-1
3.040000000E0	1.436275417E-1	8.965021232E-1
3.050000000E0	1.487969610E-1	8.753937281E-1
3.060000000E0	1.540868389E-1	8.401467219E-1
3.070000000E0	1.588941648E-1	7.768968637E-1
3.080000000E0	1.635300506E-1	7.553441157E-1
3.090000000E0	1.681590279E-1	7.033402706E-1
3.100000000E0	1.721341922E-1	6.484921097E-1
3.110000000E0	1.762719374E-1	6.140079282E-1
3.120000000E0	1.802663098E-1	5.738152613E-1
3.130000000E0	1.839610438E-1	5.373149260E-1
3.140000000E0	1.877181206E-1	4.935024427E-1
3.150000000E0	1.913798846E-1	4.407958336E-1
3.160000000E0	1.940672653E-1	3.902344747E-1
3.170000000E0	1.963508888E-1	3.668675047E-1
3.180000000E0	1.986804581E-1	3.288611900E-1
3.190000000E0	2.009602390E-1	2.680764565E-1
3.200000000E0	2.027438907E-1	2.184133680E-1
3.210000000E0	2.042119905E-1	1.868754692E-1
3.220000000E0	2.054452666E-1	1.341672369E-1
3.230000000E0	2.062287466E-1	8.383492223E-2
3.240000000E0	2.068709521E-1	4.642943377E-2
3.250000000E0	2.070868438E-1	1.420863300E-2
3.260000000E0	2.070516170E-1	3.220937545E-2
3.270000000E0	2.068101632E-1	7.398016408E-2
3.280000000E0	2.056986857E-1	1.117295088E-1
3.290000000E0	2.051373905E-1	1.604993697E-1
3.300000000E0	2.038747366E-1	2.159406518E-1
3.310000000E0	2.021058206E-1	2.634677265E-1
3.320000000E0	1.998905416E-1	3.260948320E-1
3.330000000E0	1.973586012E-1	3.637305118E-1
3.340000000E0	1.953172382E-1	3.886012900E-1
3.350000000E0	1.925986995E-1	4.431630720E-1
3.360000000E0	1.893158001E-1	4.910249883E-1
3.370000000E0	1.853541063E-1	5.420720988E-1
3.380000000E0	1.816710121E-1	5.754639961E-1
3.390000000E0	1.778840627E-1	6.010865547E-1
3.400000000E0	1.738315154E-1	6.555665097E-1
3.410000000E0	1.692004884E-1	7.068036473E-1
3.420000000E0	1.646994419E-1	7.413564985E-1
3.430000000E0	1.601711754E-1	7.636197842E-1
3.440000000E0	1.555067030E-1	8.019578877E-1
3.450000000E0	1.503362858E-1	8.541343490E-1
3.460000000E0	1.453401221E-1	8.994270544E-1
3.470000000E0	1.399141999E-1	9.389092689E-1
3.480000000E0	1.344276097E-1	9.732655343E-1
3.490000000E0	1.289036274E-1	1.012648188E0
3.500000000E0	1.230712745E-1	1.058268323E0
3.510000000E0	1.171647807E-1	1.075465328E0
3.520000000E0	1.115765507E-1	1.084323911E0
3.530000000E0	1.062605753E-1	1.132621841E0
3.540000000E0	1.006620370E-1	1.174750928E0
3.550000000E0	9.508363826E-2	1.195281375E0
3.560000000E0	8.958384396E-2	1.204354331E0
3.570000000E0	8.443166128E-2	1.255309203E0
3.580000000E0	7.904884495E-2	1.305885211E0
3.590000000E0	7.372643040E-2	1.342349884E0
3.600000000E0	6.836744427E-2	1.341971754E0
3.610000000E0	6.353352815E-2	1.370065095E0
3.620000000E0	5.846195095E-2	1.418588497E0
3.630000000E0	5.376226616E-2	1.417558715E0
3.640000000E0	4.933356485E-2	1.437933283E0
3.650000000E0	4.524842957E-2	1.442001764E0
3.660000000E0	4.113514377E-2	1.484711078E0
3.670000000E0	3.715642776E-2	1.494083026E0
3.680000000E0	3.398033668E-2	1.488327804E0
3.690000000E0	3.063461187E-2	1.521100266E0
3.700000000E0	2.759370462E-2	1.526366449E0
3.710000000E0	2.502284415E-2	1.497917560E0
3.720000000E0	2.392765776E-2	1.570624425E0
3.730000000E0	2.119181724E-2	1.595987807E0
3.740000000E0	1.965810592E-2	1.538042582E0
3.750000000E0	1.870589532E-2	1.536561451E0
3.760000000E0	1.785759956E-2	1.507927683E0
3.770000000E0	1.744529152E-2	1.500086385E0
3.780000000E0	1.702417012E-2	1.518260405E0
3.790000000E0	1.722935472E-2	1.551835567E0
3.800000000E0	1.763879998E-2	1.550192975E0
3.810000000E0	1.851159859E-2	1.527961329E0
3.820000000E0	1.963417695E-2	1.545708558E0
3.830000000E0	2.094982549E-2	1.534665110E0
3.840000000E0	2.354293546E-2	1.579609884E0
3.850000000E0	2.594618237E-2	1.539351951E0
3.860000000E0	2.723273963E-2	1.475565201E0
3.870000000E0	3.007791071E-2	1.507157516E0
3.880000000E0	3.283847746E-2	1.491892276E0
3.890000000E0	3.585754613E-2	1.475558213E0
3.900000000E0	3.911439156E-2	1.465951309E0
3.910000000E0	4.268393603E-2	1.458616776E0
3.920000000E0	4.653110236E-2	1.424824321E0
3.930000000E0	5.057539249E-2	1.408468572E0
3.940000000E0	5.508122205E-2	1.391202641E0
3.950000000E0	5.953342449E-2	1.346783623E0
3.960000000E0	6.437432817E-2	1.299726846E0
3.970000000E0	6.923516805E-2	1.218262220E0
3.980000000E0	7.484446867E-2	1.280051048E0
3.990000000E0	7.998510294E-2	1.320904474E0
4.000000000E0	8.516987490E-2	1.214502213E0
4.010000000E0	9.063157907E-2	1.187569696E0
4.020000000E0	9.600635427E-2	1.151266587E0
4.030000000E0	1.014615887E-1	1.132863678E0
4.040000000E0	1.073887461E-1	1.107897476E0
4.050000000E0	1.126565672E-1	1.063336126E0
4.060000000E0	1.183041014E-1	1.031593846E0
4.070000000E0	1.236010249E-1	9.885215675E-1
4.080000000E0	1.290969261E-1	9.410131535E-1
4.090000000E0	1.341921190E-1	8.974482517E-1
4.100000000E0	1.393155388E-1	8.847686100E-1
4.110000000E0	1.445005457E-1	8.429444214E-1
4.120000000E0	1.493427834E-1	7.922817306E-1
4.130000000E0	1.542298937E-1	7.812024379E-1
4.140000000E0	1.589272770E-1	7.322973423E-1
4.150000000E0	1.632411215E-1	6.824883833E-1
4.160000000E0	1.675991099E-1	6.353227457E-1
4.170000000E0	1.713382222E-1	5.889318447E-1
4.180000000E0	1.752005311E-1	5.660760011E-1
4.190000000E0	1.787681826E-1	5.045555218E-1
4.200000000E0	1.818974953E-1	4.522407368E-1
4.210000000E0	1.849253727E-1	4.302641724E-1
4.220000000E0	1.877769695E-1	3.686550911E-1
4.230000000E0	1.899252828E-1	3.051534629E-1
4.240000000E0	1.920306961E-1	2.783304715E-1
4.250000000E0	1.940417792E-1	2.540490330E-1
4.260000000E0	1.955909460E-1	2.232178230E-1
4.270000000E0	1.969291536E-1	1.499081212E-1
4.280000000E0	1.975429997E-1	1.092384083E-1
4.290000000E0	1.984235774E-1	7.597655924E-2
4.300000000E0	1.987186270E-1	1.864841728E-2
4.310000000E0	1.987653471E-1	5.375877305E-3
4.320000000E0	1.986661150E-1	5.306452025E-2
4.330000000E0	1.978922539E-1	1.147452257E-1
4.340000000E0	1.968492287E-1	1.661572932E-1
4.350000000E0	1.955259216E-1	2.065888729E-1
4.360000000E0	1.940125936E-1	2.427695239E-1
4.370000000E0	1.920405474E-1	2.911773414E-1
4.380000000E0	1.899404900E-1	3.312696851E-1
4.390000000E0	1.875828618E-1	3.934882271E-1
4.400000000E0	1.848533418E-1	4.365297552E-1
4.410000000E0	1.818318279E-1	4.729835983E-1
4.420000000E0	1.785618042E-1	5.376073232E-1
4.430000000E0	1.747877550E-1	5.724172743E-1
4.440000000E0	1.710417167E-1	6.123025673E-1
4.450000000E0	1.669206548E-1	6.295611409E-1
4.460000000E0	1.630384424E-1	6.668368729E-1
4.470000000E0	1.586044292E-1	7.313325932E-1
4.480000000E0	1.539999420E-1	7.551077638E-1
4.490000000E0	1.493511748E-1	8.042329777E-1
4.500000000E0	1.443722062E-1	8.742987417E-1
4.510000000E0	1.390227819E-1	8.998929931E-1
4.520000000E0	1.338448999E-1	9.102220056E-1
4.530000000E0	1.288868897E-1	9.195868086E-1
4.540000000E0	1.239178611E-1	9.674097228E-1
4.550000000E0	1.184851980E-1	1.014231835E0
4.560000000E0	1.132064516E-1	1.047802917E0
4.570000000E0	1.077024014E-1	1.096923878E0
4.580000000E0	1.025268432E-1	1.099026090E0
4.590000000E0	9.743501288E-2	1.135395276E0
4.600000000E0	9.212535484E-2	1.174799253E0
4.610000000E0	8.686623827E-2	1.200752821E0
4.620000000E0	8.197061112E-2	1.254050137E0
4.630000000E0	7.756520918E-2	1.260998363E0
4.640000000E0	7.167355797E-2	1.268178760E0
4.650000000E0	6.675228944E-2	1.306673464E0
4.660000000E0	6.206463036E-2	1.309969554E0
4.670000000E0	5.788287079E-2	1.330982045E0
4.680000000E0	5.362901823E-2	1.358020815E0
4.690000000E0	5.000214677E-2	1.350986131E0
4.700000000E0	4.634154540E-2	1.374616347E0
4.710000000E0	4.279412568E-2	1.393813229E0
4.720000000E0	3.940338571E-2	1.390997666E0
4.730000000E0	3.652784582E-2	1.420229038E0
4.740000000E0	3.367358412E-2	1.428936001E0
4.750000000E0	3.080813312E-2	1.447651870E0
4.760000000E0	2.855970684E-2	1.447574149E0
4.770000000E0	2.797951619E-2	1.430215953E0
4.780000000E0	2.486339887E-2	1.477443698E0
4.790000000E0	2.301397352E-2	1.487623546E0
4.800000000E0	2.179870552E-2	1.446840934E0
4.810000000E0	2.081525775E-2	1.448644718E0
4.820000000E0	2.032386543E-2	1.433493262E0
4.830000000E0	2.001829140E-2	1.421473670E0
4.840000000E0	1.975394147E-2	1.440813604E0
4.850000000E0	1.970834278E-2	1.430550197E0
4.860000000E0	2.045826796E-2	1.433451206E0
4.870000000E0	2.134153068E-2	1.434777640E0
4.880000000E0	2.208436678E-2	1.410492104E0
4.890000000E0	2.384508592E-2	1.426669548E0
4.900000000E0	2.620229128E-2	1.419851117E0
4.910000000E0	2.715661085E-2	1.385445484E0
4.920000000E0	2.932644710E-2	1.384153277E0
4.930000000E0	3.182301158E-2	1.371570384E0
4.940000000E0	3.455671991E-2	1.359857824E0
4.950000000E0	3.734535416E-2	1.330439724E0
4.960000000E0	4.053708697E-2	1.309817850E0
4.970000000E0	4.409175402E-2	1.295472246E0
4.980000000E0	4.749135998E-2	1.289709568E0
4.990000000E0	5.113743459E-2	1.271240081E0
5.000000000E0	5.513297589E-2	1.228105608E0
5.010000000E0	5.932157238E-2	1.201739701E0
5.020000000E0	6.329294802E-2	1.205883222E0
5.030000000E0	6.767553548E-2	1.167116574E0
5.040000000E0	7.205489176E-2	1.145339482E0
5.050000000E0	7.654922274E-2	1.100657393E0
5.060000000E0	8.069906423E-2	1.071090366E0
5.070000000E0	8.532479011E-2	1.062470106E0
5.080000000E0	8.955127796E-2	1.008646245E0
5.090000000E0	9.387572652E-2	9.936140836E-1
5.100000000E0	9.840418117E-2	9.539366734E-1
5.110000000E0	1.025591080E-1	9.120889456E-1
5.120000000E0	1.068543583E-1	8.789576436E-1
5.130000000E0	1.110829273E-1	8.496951623E-1
5.140000000E0	1.152935980E-1	8.039563389E-1
5.150000000E0	1.193804726E-1	7.411968025E-1
5.160000000E0	1.231791635E-1	7.107258874E-1
5.170000000E0	1.269242132E-1	7.078133187E-1
5.180000000E0	1.309908974E-1	6.768642062E-1
5.190000000E0	1.344197815E-1	6.432439112E-1
5.200000000E0	1.382564453E-1	6.042549336E-1
5.210000000E0	1.413726589E-1	5.503847842E-1
5.220000000E0	1.443609333E-1	5.182824841E-1
5.230000000E0	1.473639426E-1	4.841888606E-1
5.240000000E0	1.501638712E-1	4.433731986E-1
5.250000000E0	1.528507644E-1	3.834605379E-1
5.260000000E0	1.547907206E-1	3.623823672E-1
5.270000000E0	1.571617946E-1	3.305527619E-1
5.280000000E0	1.588985157E-1	2.670647254E-1
5.290000000E0	1.604583892E-1	2.383344149E-1
5.300000000E0	1.617970738E-1	2.134352066E-1
5.310000000E0	1.631442888E-1	1.638410179E-1
5.320000000E0	1.637647291E-1	1.126811237E-1
5.330000000E0	1.645517466E-1	7.228332628E-2
5.340000000E0	1.647797460E-1	2.392622529E-2
5.350000000E0	1.648770051E-1	1.760925028E-2
5.360000000E0	1.647255392E-1	2.903332358E-2
5.370000000E0	1.646060171E-1	7.709153511E-2
5.380000000E0	1.639675438E-1	1.342657692E-1
5.390000000E0	1.632195482E-1	1.746355482E-1
5.400000000E0	1.620237263E-1	2.246864616E-1
5.410000000E0	1.605280780E-1	2.374123512E-1
5.420000000E0	1.589596504E-1	2.764375035E-1
5.430000000E0	1.573368784E-1	3.455560468E-1
5.440000000E0	1.549998844E-1	3.773169103E-1
5.450000000E0	1.529418306E-1	4.014408387E-1
5.460000000E0	1.502697646E-1	4.487260576E-1
